[2025-06-08T09:14:11.486Z] [INFO]: Launching Oracle Java SE Language Server with default system JDK and userdir /home/sammy/.config/Code/User/workspaceStorage/dd918b45ff2846cfdfc8919a1dd5fea0/Oracle.oracle-java/userdir
[2025-06-08T09:14:11.499Z] [INFO]: Language Client: Starting
[2025-06-08T09:14:11.500Z] [INFO]: LSP server launching: 3728
[2025-06-08T09:14:11.500Z] [INFO]: LSP server user directory: /home/sammy/.config/Code/User/workspaceStorage/dd918b45ff2846cfdfc8919a1dd5fea0/Oracle.oracle-java/userdir
Code Name                                          Version                                State    
-------------------------------------------------- -------------------------------------- ---------
org.netbeans.modules.options.java                  1.41                                   Enabled  
org.netbeans.modules.editor.settings.storage       1.79.0.1                               Enabled  
org.netbeans.modules.xml.xdm                       1.61.0.1                               Enabled  
org.netbeans.modules.csl.types                     1.27                                   Enabled  
org.netbeans.swing.plaf                            1.69                                   Enabled  
org.netbeans.modules.gradle.dependencies           1.4.0.1.1.1                            Enabled  
org.netbeans.modules.editor.document               1.36.0.3                               Enabled  
org.netbeans.modules.extexecution                  1.76                                   Enabled  
org.netbeans.api.java                              1.94                                   Enabled  
org.netbeans.modules.languages.antlr               1.9                                    Enabled  
org.netbeans.modules.project.ant.ui                1.92                                   Enabled  
org.netbeans.html.presenters.spi                   1.8.1                                  Enabled  
org.netbeans.modules.options.api                   1.72                                   Enabled  
org.netbeans.modules.maven.refactoring             1.48.0.1                               Enabled  
org.apache.netbeans.l10n.zh_CN                     0.0.1                                  Enabled  
org.openide.modules                                7.75                                   Enabled  
org.netbeans.modules.editor.guards                 1.60                                   Enabled  
org.netbeans.spi.tasklist                          1.62.0.1                               Enabled  
org.netbeans.modules.ide.dashboard                 0.4                                    Enabled  
org.netbeans.modules.javascript2.debug             1.45                                   Enabled  
org.netbeans.lib.nbjavac                           1.43.0.4.3                             Enabled  
org.netbeans.modules.nbcode.integration            1.0                                    Enabled  
org.netbeans.modules.maven.persistence             1.56                                   Enabled  
org.netbeans.libs.graalsdk.system                  1.27                                   Installed
org.openide.util.lookup                            8.61                                   Enabled  
org.netbeans.modules.maven                         2.167.0.1.1                            Enabled  
org.netbeans.modules.masterfs.nio2                 1.42                                   Enabled  
org.netbeans.modules.debugger.jpda.projectsui      1.30                                   Enabled  
org.netbeans.modules.web.common                    1.126                                  Enabled  
org.netbeans.modules.java.openjdk.project          1.24                                   Enabled  
org.netbeans.api.annotations.common                1.55                                   Enabled  
org.netbeans.modules.nativeimage.api               0.19                                   Enabled  
org.netbeans.modules.testng.ui                     1.36                                   Enabled  
org.netbeans.core.netigso                          1.58                                   Enabled  
org.netbeans.libs.jna.platform                     2.22                                   Enabled  
org.netbeans.modules.refactoring.api               1.74.0.1                               Enabled  
org.netbeans.modules.server                        1.60                                   Installed
org.netbeans.api.xml.ui                            1.71                                   Enabled  
org.netbeans.libs.jaxb                             1.58                                   Installed
